Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2016,JUL THRU SEP,NA,HAWAII,15,NA,ADDED & REPLACED,430,NA
2016,JUL THRU SEP,NA,IDAHO,16,NA,ADDED & REPLACED,1900,NA
2016,JUL THRU SEP,NA,ILLINOIS,17,NA,ADDED & REPLACED,850,NA
2016,JUL THRU SEP,NA,INDIANA,18,NA,ADDED & REPLACED,450,NA
2016,JUL THRU SEP,NA,IOWA,19,NA,ADDED & REPLACED,10500,NA
2016,JUL THRU SEP,NA,KANSAS,20,NA,ADDED & REPLACED,310,NA
2016,JUL THRU SEP,NA,KENTUCKY,21,NA,ADDED & REPLACED,900,NA
2016,JUL THRU SEP,NA,LOUISIANA,22,NA,ADDED & REPLACED,2600,NA
2016,JUL THRU SEP,NA,MAINE,23,NA,ADDED & REPLACED,240,NA
2016,JUL THRU SEP,NA,MARYLAND,24,NA,ADDED & REPLACED,400,NA
2016,JUL THRU SEP,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,450,NA
2016,JUL THRU SEP,NA,MICHIGAN,26,NA,ADDED & REPLACED,11000,NA
2016,JUL THRU SEP,NA,MINNESOTA,27,NA,ADDED & REPLACED,1300,NA
2016,JUL THRU SEP,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,750,NA
2016,JUL THRU SEP,NA,MISSOURI,29,NA,ADDED & REPLACED,480,NA
2016,JUL THRU SEP,NA,MONTANA,30,NA,ADDED & REPLACED,4100,NA
2016,JUL THRU SEP,NA,NEBRASKA,31,NA,ADDED & REPLACED,390,NA
2016,JUL THRU SEP,NA,NEW JERSEY,34,NA,ADDED & REPLACED,120,NA
2016,JUL THRU SEP,NA,NEW MEXICO,35,NA,ADDED & REPLACED,2000,NA
2016,JUL THRU SEP,NA,NEW YORK,36,NA,ADDED & REPLACED,1900,NA
2016,JUL THRU SEP,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,1400,NA
2016,JUL THRU SEP,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,25000,NA
2016,JUL THRU SEP,NA,OHIO,39,NA,ADDED & REPLACED,980,NA
2016,JUL THRU SEP,NA,OKLAHOMA,40,NA,ADDED & REPLACED,30,NA
2016,JUL THRU SEP,NA,OREGON,41,NA,ADDED & REPLACED,2900,NA
2016,JUL THRU SEP,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,680,NA
2016,JUL THRU SEP,NA,SOUTH CAROLINA,45,NA,ADDED & REPLACED,990,NA
2016,JUL THRU SEP,NA,SOUTH DAKOTA,46,NA,ADDED & REPLACED,4200,NA
2016,JUL THRU SEP,NA,TENNESSEE,47,NA,ADDED & REPLACED,340,NA
2016,JUL THRU SEP,NA,TEXAS,48,NA,ADDED & REPLACED,12500,NA
2016,JUL THRU SEP,NA,UTAH,49,NA,ADDED & REPLACED,1200,NA
2016,JUL THRU SEP,NA,VERMONT,50,NA,ADDED & REPLACED,170,NA
2016,JUL THRU SEP,NA,VIRGINIA,51,NA,ADDED & REPLACED,460,NA
